                        XN8Z4	BA.5
                        XN4UD	BQ.1
                        XN51Y	XBB
                            XN72A	XBB.1.5
                            XN201	XBB.1.16
                            XN8RW	EG.5
                            XN031	BA2.86
                        XN3QV	BA.1
                        XN53K	BA.2
            XN2P0	Enterovirus
                XN3MC	Coxsackievirus
                XN2TU	Echovirus
                XN3M0	Poliovirus
                    XN6KZ	Wild poliovirus type 1
                    XN9CF	Wild poliovirus type 2
                    XN97R	Wild poliovirus type 3
                    XN2T1	Circulating vaccine-derived poliovirus type 1
                    XN1XN	Circulating vaccine-derived poliovirus type 2
                    XN7UU	Circulating vaccine-derived poliovirus type 3
                XN19Z	Rhinovirus
            XN6R5	Filovirus
                XN2LW	Genus Ebolavirus
                    XN1EN	Ebola virus
                    XN8JT	Bundibugyo virus
                    XN9QG	Reston virus
                    XN13U	Sudan virus
                    XN8TT	Taï Forest virus
                    XN12Y	Bombali virus
                XN4XZ	Genus Marburgvirus
                    XN3F2	Marburg virus
                    XN5M2	Ravn virus
            XN0AC	Flavivirus
                XN4CA	Dengue virus
                    XN22Z	Dengue virus 1
                    XN4RL	Dengue virus 2
                    XN9XQ	Dengue virus 3
                    XN2EQ	Dengue virus 4
                XN9ZK	Japanese encephalitis virus
                XN5QW	Saint Louis encephalitis virus
                XN0L1	Tick-borne encephalitis virus
                    XN1MT	Tick-borne encephalitis virus-European subtype
                    XN8WB	Tick-borne encephalitis virus-Far Eastern subtype
                    XN4LG	Tick-borne encephalitis virus-Siberian subtype
                XN4E1	West Nile virus
                XN9S3	Yellow fever virus
                XN1H2	Zika virus
                XN7C2	Rocio virus
                XN7W2	Alkhurma hemorrhagic fever virus
                XN2JR	Kyasanur Forest disease virus
            XN41M	Hepatitis virus
                XN5XD	GB virus C
                XN40D	Hepatitis A virus
                XN0GA	Hepatitis B virus
                XN1EZ	Hepatitis C virus
                XN99N	Hepatitis D virus
                XN7TG	Hepatitis E virus
                XN6BW	Hepatitis F virus
            XN7V1	Human herpesvirus
                XN6DH	Ictalurvirus
